kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-10-23 20:15:00-04:00,Minnesota Vikings,Los Angeles Chargers,3.0,100,-3.0,-120,44.5,-115,-105,142,-170,DraftKings,DraftKings,DraftKings
2025-10-26 13:00:00-04:00,Miami Dolphins,Atlanta Falcons,7.5,-105,-7.5,-115,44.5,-115,-105,340,-440,DraftKings,DraftKings,DraftKings
2025-10-26 13:00:00-04:00,Chicago Bears,Baltimore Ravens,6.0,-105,-6.0,-115,49.5,-112,-108,240,-298,DraftKings,DraftKings,DraftKings
2025-10-26 13:00:00-04:00,Buffalo Bills,Carolina Panthers,-7.0,-112,7.0,-108,46.5,-108,-112,-360,285,DraftKings,DraftKings,DraftKings
2025-10-26 13:00:00-04:00,New York Jets,Cincinnati Bengals,6.5,-112,-6.5,-108,44.5,-110,-110,240,-298,DraftKings,DraftKings,DraftKings
2025-10-26 13:00:00-04:00,Cleveland Browns,New England Patriots,7.0,-115,-7.0,-105,40.5,-115,-105,300,-380,DraftKings,DraftKings,DraftKings
2025-10-26 13:00:00-04:00,San Francisco 49ers,Houston Texans,1.5,-112,-1.5,-108,41.5,-105,-115,100,-120,DraftKings,DraftKings,DraftKings
2025-10-26 13:00:00-04:00,New York Giants,Philadelphia Eagles,7.5,-120,-7.5,100,43.5,-118,-102,320,-410,DraftKings,DraftKings,DraftKings
2025-10-26 16:05:00-04:00,Tampa Bay Buccaneers,New Orleans Saints,-4.5,-108,4.5,-112,46.5,-110,-110,-225,185,DraftKings,DraftKings,DraftKings
2025-10-26 16:25:00-04:00,Dallas Cowboys,Denver Broncos,3.5,-115,-3.5,-105,50.5,-112,-108,154,-185,DraftKings,DraftKings,DraftKings
2025-10-26 16:25:00-04:00,Tennessee Titans,Indianapolis Colts,14.5,-108,-14.5,-112,47.5,-115,-105,850,-1450,DraftKings,DraftKings,DraftKings
2025-10-26 20:20:00-04:00,Green Bay Packers,Pittsburgh Steelers,-3.0,-105,3.0,-115,45.5,-115,-105,-162,136,DraftKings,DraftKings,DraftKings
2025-10-27 20:15:00-04:00,Washington Commanders,Kansas City Chiefs,12.5,-112,-12.5,-108,47.5,-112,-108,550,-800,DraftKings,DraftKings,DraftKings
