away,home,away_score,home_score,away_ats_result,home_ats_result,home_spread,away_spread
Pittsburgh Steelers,Cincinnati Bengals,31,33,L,W,5.5,-5.5
Los Angeles Rams,Jacksonville Jaguars,35,7,W,L,3.0,-3.0
New Orleans Saints,Chicago Bears,14,26,L,W,-5.5,5.5
Miami Dolphins,Cleveland Browns,6,31,L,W,-2.5,2.5
New England Patriots,Tennessee Titans,31,13,W,L,7.0,-7.0
Las Vegas Raiders,Kansas City Chiefs,0,31,L,W,-12.5,12.5
Philadelphia Eagles,Minnesota Vikings,28,22,W,L,2.5,-2.5
Carolina Panthers,New York Jets,13,6,W,L,1.5,-1.5
New York Giants,Denver Broncos,32,33,W,L,-7.0,7.0
Indianapolis Colts,Los Angeles Chargers,38,24,W,L,-1.5,1.5
Washington Commanders,Dallas Cowboys,22,44,L,W,2.5,-2.5
Green Bay Packers,Arizona Cardinals,27,23,L,W,6.5,-6.5
Atlanta Falcons,San Francisco 49ers,10,20,L,W,-2.5,2.5
Houston Texans,Seattle Seahawks,19,27,L,W,-3.0,3.0
Tampa Bay Buccaneers,Detroit Lions,9,24,L,W,-5.5,5.5
