user,team,opponent,result,game_date
cam,Buffalo Bills,Carolina Panthers,W,2025-10-26
cam,San Francisco 49ers,Houston Texans,L,2025-10-26
cam,Tampa Bay Buccaneers,New Orleans Saints,W,2025-10-26
shane,Tampa Bay Buccaneers,New Orleans Saints,W,2025-10-26
shane,San Francisco 49ers,Houston Texans,L,2025-10-26
shane,Chicago Bears,Baltimore Ravens,L,2025-10-26
connor,Pittsburgh Steelers,Green Bay Packers,L,2025-10-26
connor,Denver Broncos,Dallas Cowboys,W,2025-10-26
connor,New York Jets,Cincinnati Bengals,W,2025-10-26
nathan,Houston Texans,San Francisco 49ers,W,2025-10-26
nathan,New York Giants,Philadelphia Eagles,L,2025-10-26
nathan,Dallas Cowboys,Denver Broncos,L,2025-10-26
max,Baltimore Ravens,Chicago Bears,W,2025-10-26
max,Pittsburgh Steelers,Green Bay Packers,L,2025-10-26
max,Tennessee Titans,Indianapolis Colts,L,2025-10-26
jacob,Denver Broncos,Dallas Cowboys,W,2025-10-26
jacob,New York Giants,Philadelphia Eagles,L,2025-10-26
jacob,New England Patriots,Cleveland Browns,W,2025-10-26
john,Pittsburgh Steelers,Green Bay Packers,L,2025-10-26
john,Dallas Cowboys,Denver Broncos,L,2025-10-26
john,Washington Commanders,Kansas City Chiefs,L,2025-10-27
