user,team,game_date
cam,Detroit Lions,2024-09-02
cam,Denver Broncos,2024-09-02
cam,Tampa Bay Buccaneers,2024-09-02
nathan,New Orleans Saints,2024-09-02
nathan,Kansas City Chiefs,2024-09-02
nathan,Tennessee Titans,2024-09-02
shane,New England Patriots,2024-09-02
shane,Denver Broncos,2024-09-02
shane,Los Angeles Chargers,2024-09-02
connor,Tampa Bay Buccaneers,2024-09-02
connor,Dallas Cowboys,2024-09-02
connor,Denver Broncos,2024-09-02
john,Dallas Cowboys,2024-09-02
john,Tennessee Titans,2024-09-02
john,Atlanta Falcons,2024-09-02
jacob,Green Bay Packers,2024-09-02
jacob,Minnesota Vikings,2024-09-02
jacob,Philadelphia Eagles,2024-09-02
max,Baltimore Ravens,2024-09-02
max,Los Angeles Chargers,2024-09-02
max,Philadelphia Eagles,2024-09-02
