kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-11-13 20:15:00-05:00,New York Jets,New England Patriots,14,27,13,-12.5,12.5,0.5,W,L,43.5,41,Under
2025-11-16 09:34:50-05:00,Washington Commanders,Miami Dolphins,13,16,3,-2.5,2.5,0.5,W,L,47.5,29,Under
2025-11-16 13:02:33-05:00,Tampa Bay Buccaneers,Buffalo Bills,32,44,12,-5.5,5.5,6.5,W,L,47.5,76,Over
2025-11-16 13:02:45-05:00,Cincinnati Bengals,Pittsburgh Steelers,12,34,22,-5.5,5.5,16.5,W,L,49.5,46,Under
2025-11-16 13:02:48-05:00,Los Angeles Chargers,Jacksonville Jaguars,6,35,29,3.0,-3.0,32.0,W,L,43.5,41,Under
2025-11-16 13:02:50-05:00,Chicago Bears,Minnesota Vikings,19,17,-2,-3.0,3.0,-5.0,L,W,48.5,36,Under
2025-11-16 13:02:54-05:00,Green Bay Packers,New York Giants,27,20,-7,7.0,-7.0,0.0,P,P,43.5,47,Over
2025-11-16 13:02:55-05:00,Houston Texans,Tennessee Titans,16,13,-3,7.5,-7.5,4.5,W,L,39.5,29,Under
2025-11-16 13:03:15-05:00,Carolina Panthers,Atlanta Falcons,30,27,-3,-3.5,3.5,-6.5,L,W,42.5,57,Over
2025-11-16 16:05:27-05:00,San Francisco 49ers,Arizona Cardinals,41,22,-19,2.5,-2.5,-16.5,L,W,48.5,63,Over
2025-11-16 16:05:30-05:00,Seattle Seahawks,Los Angeles Rams,19,21,2,-2.5,2.5,-0.5,L,W,48.5,40,Under
2025-11-16 16:25:20-05:00,Baltimore Ravens,Cleveland Browns,23,16,-7,7.5,-7.5,0.5,W,L,39.5,39,Under
2025-11-16 16:25:21-05:00,Kansas City Chiefs,Denver Broncos,19,22,3,3.5,-3.5,6.5,W,L,43.5,41,Under
2025-11-16 20:22:48-05:00,Detroit Lions,Philadelphia Eagles,9,16,7,-3.0,3.0,4.0,W,L,46.5,25,Under
2025-11-17 20:16:39-05:00,Dallas Cowboys,Las Vegas Raiders,33,16,-17,3.5,-3.5,-13.5,L,W,50.5,49,Under
