kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2026-01-03 16:30:00-05:00,Carolina Panthers,Tampa Bay Buccaneers,3.0,-120,-3.0,100,43.5,-112,-108,124,-148,DraftKings,DraftKings,DraftKings
2026-01-03 20:00:00-05:00,Seattle Seahawks,San Francisco 49ers,-2.5,-115,2.5,-105,47.5,-112,-108,-148,124,DraftKings,DraftKings,DraftKings
2026-01-04 13:00:00-05:00,New Orleans Saints,Atlanta Falcons,3.5,-112,-3.5,-108,44.5,100,-120,164,-198,DraftKings,DraftKings,DraftKings
2026-01-04 13:00:00-05:00,Cleveland Browns,Cincinnati Bengals,7.5,-102,-7.5,-118,44.5,-110,-110,320,-410,DraftKings,DraftKings,DraftKings
2026-01-04 13:00:00-05:00,Dallas Cowboys,New York Giants,-3.5,-105,3.5,-115,49.5,-115,-105,-185,154,DraftKings,DraftKings,DraftKings
2026-01-04 13:00:00-05:00,Green Bay Packers,Minnesota Vikings,9.5,-112,-9.5,-108,37.5,-102,-118,360,-470,DraftKings,DraftKings,DraftKings
2026-01-04 13:00:00-05:00,Indianapolis Colts,Houston Texans,10.0,-112,-10.0,-108,38.5,-112,-108,410,-550,DraftKings,DraftKings,DraftKings
2026-01-04 13:00:00-05:00,Tennessee Titans,Jacksonville Jaguars,13.5,-115,-13.5,-105,47.5,-112,-108,550,-800,DraftKings,DraftKings,DraftKings
2026-01-04 16:25:00-05:00,Arizona Cardinals,Los Angeles Rams,8.5,-110,-8.5,-110,46.5,-105,-115,330,-425,DraftKings,DraftKings,DraftKings
2026-01-04 16:25:00-05:00,New York Jets,Buffalo Bills,7.5,-102,-7.5,-118,37.5,-110,-110,330,-425,DraftKings,DraftKings,DraftKings
2026-01-04 16:25:00-05:00,Detroit Lions,Chicago Bears,3.0,-112,-3.0,-108,50.5,-115,-105,136,-162,DraftKings,DraftKings,DraftKings
2026-01-04 16:25:00-05:00,Los Angeles Chargers,Denver Broncos,13.5,-115,-13.5,-105,37.5,-110,-110,750,-1200,DraftKings,DraftKings,DraftKings
2026-01-04 16:25:00-05:00,Kansas City Chiefs,Las Vegas Raiders,-5.5,-110,5.5,-110,36.5,-108,-112,-278,225,DraftKings,DraftKings,DraftKings
2026-01-04 16:25:00-05:00,Miami Dolphins,New England Patriots,11.5,-112,-11.5,-108,45.5,-112,-108,490,-675,DraftKings,DraftKings,DraftKings
2026-01-04 16:25:00-05:00,Washington Commanders,Philadelphia Eagles,4.5,-115,-4.5,-105,38.5,-112,-108,185,-225,DraftKings,DraftKings,DraftKings
2026-01-04 20:20:00-05:00,Baltimore Ravens,Pittsburgh Steelers,-4.5,102,4.5,-122,41.5,-105,-115,-205,170,DraftKings,DraftKings,DraftKings
