user,team,opponent,result,game_date
cam,Philadelphia Eagles,Dallas Cowboys,L,2025-11-23
cam,Seattle Seahawks,Tennessee Titans,L,2025-11-23
cam,Jacksonville Jaguars,Arizona Cardinals,W,2025-11-23
jacob,Detroit Lions,New York Giants,L,2025-11-23
jacob,Dallas Cowboys,Philadelphia Eagles,W,2025-11-23
nathan,Detroit Lions,New York Giants,L,2025-11-23
nathan,Arizona Cardinals,Jacksonville Jaguars,L,2025-11-23
nathan,Dallas Cowboys,Philadelphia Eagles,W,2025-11-23
max,Detroit Lions,New York Giants,L,2025-11-23
max,Atlanta Falcons,New Orleans Saints,W,2025-11-23
max,Tampa Bay Buccaneers,Los Angeles Rams,L,2025-11-23
shane,Atlanta Falcons,New Orleans Saints,W,2025-11-23
shane,Philadelphia Eagles,Dallas Cowboys,L,2025-11-23
shane,Cleveland Browns,Las Vegas Raiders,W,2025-11-23
john,Cincinnati Bengals,New England Patriots,W,2025-11-23
john,Dallas Cowboys,Philadelphia Eagles,W,2025-11-23
john,Atlanta Falcons,New Orleans Saints,W,2025-11-23
connor,Chicago Bears,Pittsburgh Steelers,P,2025-11-23
connor,Jacksonville Jaguars,Arizona Cardinals,W,2025-11-23
connor,New Orleans Saints,Atlanta Falcons,L,2025-11-23
