user_id,season,week,game_id,team,spread,correct,result
jacob,2026,1,1,Seattle Seahawks,-3.5,,
nathan,2026,1,4,Indianapolis Colts,3.5,,
nathan,2026,1,16,Denver Broncos,3.0,,
nathan,2026,1,11,Arizona Cardinals,10.5,,
shane,2026,1,5,Houston Texans,1.5,,
shane,2026,1,7,Cincinnati Bengals,-3.5,,
shane,2026,1,16,Denver Broncos,3.0,,
cam,2026,1,10,New York Jets,1.5,,
cam,2026,1,12,Green Bay Packers,1.5,,
cam,2026,1,4,Indianapolis Colts,3.5,,
connor,2026,1,2,San Francisco 49ers,3.5,,
connor,2026,1,14,Philadelphia Eagles,-5.5,,
connor,2026,1,4,Indianapolis Colts,3.5,,
jacob,2026,1,3,Pittsburgh Steelers,-3.5,,
jacob,2026,1,16,Denver Broncos,3.0,,
john,2026,1,5,Houston Texans,1.5,,
john,2026,1,16,Denver Broncos,2.5,,
john,2026,1,6,Chicago Bears,-3.0,,
max,2026,1,5,Buffalo Bills,-1.5,,
max,2026,1,8,Jacksonville Jaguars,-8.5,,
max,2026,1,6,Chicago Bears,-3.0,,
