user,team,game_date
max,Denver Broncos,2024-09-07
max,Green Bay Packers,2024-09-07
nathan,Jacksonville Jaguars,2024-09-07
nathan,New Orleans Saints,2024-09-07
nathan,New England Patriots,2024-09-07
jacob,New York Jets,2024-09-07
jacob,Dallas Cowboys,2024-09-07
jacob,Green Bay Packers,2024-09-07
john,Minnesota Vikings,2024-09-07
john,Indianapolis Colts,2024-09-07
john,Dallas Cowboys,2024-09-07
max,Seattle Seahawks,2024-09-07
connor,Philadelphia Eagles,2024-09-07
connor,Seattle Seahawks,2024-09-07
connor,Los Angeles Chargers,2024-09-07
shane,Los Angeles Chargers,2024-09-07
shane,Dallas Cowboys,2024-09-07
shane,Seattle Seahawks,2024-09-07
cam,Green Bay Packers,2024-09-07
cam,San Francisco 49ers,2024-09-07
cam,Seattle Seahawks,2024-09-07
