kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-09-25 20:16:00-04:00,Seattle Seahawks,Arizona Cardinals,-1.5,-105,1.5,-115,43.5,-105,-115,-122,102,DraftKings,DraftKings,DraftKings
2025-09-28 09:31:00-04:00,Minnesota Vikings,Pittsburgh Steelers,-2.5,-118,2.5,-102,41.5,-108,-112,-155,130,DraftKings,DraftKings,DraftKings
2025-09-28 13:00:00-04:00,Cleveland Browns,Detroit Lions,9.5,-108,-9.5,-112,44.5,-102,-118,370,-485,DraftKings,DraftKings,DraftKings
2025-09-28 13:01:00-04:00,Washington Commanders,Atlanta Falcons,-1.5,-105,1.5,-115,44.5,-115,-105,-122,102,DraftKings,DraftKings,DraftKings
2025-09-28 13:01:00-04:00,New Orleans Saints,Buffalo Bills,16.5,-112,-16.5,-108,48.5,-105,-115,900,-1600,DraftKings,DraftKings,DraftKings
2025-09-28 13:01:00-04:00,Carolina Panthers,New England Patriots,5.5,-110,-5.5,-110,43.5,-108,-112,190,-230,DraftKings,DraftKings,DraftKings
2025-09-28 13:01:00-04:00,Tennessee Titans,Houston Texans,7.0,-105,-7.0,-115,38.5,-110,-110,310,-395,DraftKings,DraftKings,DraftKings
2025-09-28 13:01:00-04:00,Los Angeles Chargers,New York Giants,-6.0,-110,6.0,-110,43.5,-115,-105,-278,225,DraftKings,DraftKings,DraftKings
2025-09-28 13:01:00-04:00,Philadelphia Eagles,Tampa Bay Buccaneers,-3.5,-105,3.5,-115,43.5,-115,-105,-205,170,DraftKings,DraftKings,DraftKings
2025-09-28 16:06:00-04:00,Indianapolis Colts,Los Angeles Rams,3.5,-108,-3.5,-112,49.5,-112,-108,145,-175,DraftKings,DraftKings,DraftKings
2025-09-28 16:06:00-04:00,Jacksonville Jaguars,San Francisco 49ers,3.0,-102,-3.0,-118,47.5,-105,-115,140,-166,DraftKings,DraftKings,DraftKings
2025-09-28 16:25:00-04:00,Baltimore Ravens,Kansas City Chiefs,-2.5,-120,2.5,100,48.5,-115,-105,-148,124,DraftKings,DraftKings,DraftKings
2025-09-28 16:26:00-04:00,Chicago Bears,Las Vegas Raiders,-1.5,100,1.5,-120,47.5,-115,-105,-112,-108,DraftKings,DraftKings,DraftKings
2025-09-28 20:21:00-04:00,Green Bay Packers,Dallas Cowboys,-7.0,-110,7.0,-110,47.5,-105,-115,-345,275,DraftKings,DraftKings,DraftKings
2025-09-29 19:15:00-04:00,New York Jets,Miami Dolphins,3.0,-118,-3.0,-102,44.5,-115,-105,124,-148,DraftKings,DraftKings,DraftKings
2025-09-29 20:15:00-04:00,Cincinnati Bengals,Denver Broncos,7.5,-115,-7.5,-105,44.5,-105,-115,300,-380,DraftKings,DraftKings,DraftKings
