kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-09-04 20:20:00-04:00,Dallas Cowboys,Philadelphia Eagles,7.5,-105,-7.5,-115,47.5,-110,-110,310,-395,DraftKings,DraftKings,DraftKings
2025-09-05 20:00:00-04:00,Kansas City Chiefs,Los Angeles Chargers,-3.0,-115,3.0,-105,46.5,-105,-115,-170,142,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,Arizona Cardinals,New Orleans Saints,-6.5,-110,6.5,-110,43.5,-108,-112,-290,235,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,Tampa Bay Buccaneers,Atlanta Falcons,-1.5,-115,1.5,-105,47.5,-105,-115,-135,114,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,Carolina Panthers,Jacksonville Jaguars,3.5,-120,-3.5,100,46.5,-115,-105,150,-180,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,Cincinnati Bengals,Cleveland Browns,-5.5,-108,5.5,-112,48.5,-108,-112,-238,195,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,Miami Dolphins,Indianapolis Colts,1.5,-118,-1.5,-102,47.5,100,-120,-105,-115,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,Las Vegas Raiders,New England Patriots,3.0,-118,-3.0,-102,43.5,-112,-108,130,-155,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,New York Giants,Washington Commanders,6.0,-112,-6.0,-108,45.5,-112,-108,215,-265,DraftKings,DraftKings,DraftKings
2025-09-07 13:00:00-04:00,Pittsburgh Steelers,New York Jets,-3.0,-102,3.0,-118,38.5,-112,-108,-162,136,DraftKings,DraftKings,DraftKings
2025-09-07 16:05:00-04:00,Tennessee Titans,Denver Broncos,8.5,-112,-8.5,-108,42.5,-110,-110,330,-425,DraftKings,DraftKings,DraftKings
2025-09-07 16:05:00-04:00,San Francisco 49ers,Seattle Seahawks,-2.5,-112,2.5,-108,43.5,-108,-112,-142,120,DraftKings,DraftKings,DraftKings
2025-09-07 16:25:00-04:00,Detroit Lions,Green Bay Packers,2.5,-105,-2.5,-115,47.5,-102,-118,124,-148,DraftKings,DraftKings,DraftKings
2025-09-07 16:25:00-04:00,Houston Texans,Los Angeles Rams,3.0,-112,-3.0,-108,43.5,-115,-105,130,-155,DraftKings,DraftKings,DraftKings
2025-09-07 20:20:00-04:00,Baltimore Ravens,Buffalo Bills,-1.5,-110,1.5,-110,50.5,-112,-108,-125,105,DraftKings,DraftKings,DraftKings
2025-09-08 20:15:00-04:00,Minnesota Vikings,Chicago Bears,-1.5,-112,1.5,-108,43.5,-115,-105,-122,102,DraftKings,DraftKings,DraftKings
