kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-11-20 20:15:00-05:00,Buffalo Bills,Houston Texans,-6.0,-105,6.0,-115,43.5,-115,-105,-278,225,DraftKings,DraftKings,DraftKings
2025-11-23 13:00:00-05:00,New York Jets,Baltimore Ravens,13.5,-110,-13.5,-110,44.5,-108,-112,625,-950,DraftKings,DraftKings,DraftKings
2025-11-23 13:00:00-05:00,Pittsburgh Steelers,Chicago Bears,3.0,-115,-3.0,-105,44.5,-115,-105,130,-155,DraftKings,DraftKings,DraftKings
2025-11-23 13:00:00-05:00,New England Patriots,Cincinnati Bengals,-8.5,-105,8.5,-115,50.5,-105,-115,-440,340,DraftKings,DraftKings,DraftKings
2025-11-23 13:00:00-05:00,New York Giants,Detroit Lions,10.5,-110,-10.5,-110,49.5,-115,-105,390,-520,DraftKings,DraftKings,DraftKings
2025-11-23 13:00:00-05:00,Minnesota Vikings,Green Bay Packers,6.5,-110,-6.5,-110,40.5,-118,-102,260,-325,DraftKings,DraftKings,DraftKings
2025-11-23 13:00:00-05:00,Indianapolis Colts,Kansas City Chiefs,3.5,-115,-3.5,-105,50.5,-108,-112,154,-185,DraftKings,DraftKings,DraftKings
2025-11-23 13:00:00-05:00,Seattle Seahawks,Tennessee Titans,-13.5,-105,13.5,-115,40.5,-105,-115,-850,575,DraftKings,DraftKings,DraftKings
2025-11-23 16:05:00-05:00,Jacksonville Jaguars,Arizona Cardinals,-2.5,-115,2.5,-105,47.5,-108,-112,-148,124,DraftKings,DraftKings,DraftKings
2025-11-23 16:05:00-05:00,Cleveland Browns,Las Vegas Raiders,3.0,100,-3.0,-120,36.5,-110,-110,145,-175,DraftKings,DraftKings,DraftKings
2025-11-23 16:25:00-05:00,Atlanta Falcons,New Orleans Saints,1.5,-110,-1.5,-110,39.5,-108,-112,105,-125,DraftKings,DraftKings,DraftKings
2025-11-23 16:25:00-05:00,Philadelphia Eagles,Dallas Cowboys,-3.5,-105,3.5,-115,48.5,-105,-115,-185,154,DraftKings,DraftKings,DraftKings
2025-11-23 20:20:00-05:00,Tampa Bay Buccaneers,Los Angeles Rams,6.5,-105,-6.5,-115,49.5,-108,-112,260,-325,DraftKings,DraftKings,DraftKings
2025-11-24 20:15:00-05:00,Carolina Panthers,San Francisco 49ers,7.0,-105,-7.0,-115,48.5,-112,-108,270,-340,DraftKings,DraftKings,DraftKings
