kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-10-16 20:15:00-04:00,Pittsburgh Steelers,Cincinnati Bengals,-5.5,-110,5.5,-110,43.5,-110,-110,-278,225,DraftKings,DraftKings,DraftKings
2025-10-19 09:30:00-04:00,Los Angeles Rams,Jacksonville Jaguars,-3.0,-115,3.0,-105,45.5,-105,-115,-166,140,DraftKings,DraftKings,DraftKings
2025-10-19 13:00:00-04:00,Carolina Panthers,New York Jets,-1.5,-110,1.5,-110,42.5,-115,-105,-125,105,DraftKings,DraftKings,DraftKings
2025-10-19 13:00:00-04:00,New Orleans Saints,Chicago Bears,5.5,-110,-5.5,-110,47.5,-105,-115,200,-245,DraftKings,DraftKings,DraftKings
2025-10-19 13:00:00-04:00,Miami Dolphins,Cleveland Browns,2.5,100,-2.5,-120,40.5,-115,-105,124,-148,DraftKings,DraftKings,DraftKings
2025-10-19 13:00:00-04:00,Las Vegas Raiders,Kansas City Chiefs,12.5,-112,-12.5,-108,45.5,-108,-112,575,-850,DraftKings,DraftKings,DraftKings
2025-10-19 13:00:00-04:00,Philadelphia Eagles,Minnesota Vikings,-2.5,-105,2.5,-115,43.5,-105,-115,-135,114,DraftKings,DraftKings,DraftKings
2025-10-19 13:00:00-04:00,New England Patriots,Tennessee Titans,-7.0,-115,7.0,-105,42.5,-115,-105,-355,280,DraftKings,DraftKings,DraftKings
2025-10-19 16:05:00-04:00,New York Giants,Denver Broncos,7.0,-110,-7.0,-110,39.5,-115,-105,280,-355,DraftKings,DraftKings,DraftKings
2025-10-19 16:05:00-04:00,Indianapolis Colts,Los Angeles Chargers,1.5,-108,-1.5,-112,48.5,-110,-110,110,-130,DraftKings,DraftKings,DraftKings
2025-10-19 16:25:00-04:00,Green Bay Packers,Arizona Cardinals,-6.5,-115,6.5,-105,44.5,-108,-112,-345,275,DraftKings,DraftKings,DraftKings
2025-10-19 16:25:00-04:00,Washington Commanders,Dallas Cowboys,-2.5,-110,2.5,-110,54.5,-115,-105,-135,114,DraftKings,DraftKings,DraftKings
2025-10-19 20:20:00-04:00,Atlanta Falcons,San Francisco 49ers,2.5,-112,-2.5,-108,47.5,-105,-115,114,-135,DraftKings,DraftKings,DraftKings
2025-10-20 19:00:00-04:00,Tampa Bay Buccaneers,Detroit Lions,5.5,-110,-5.5,-110,52.5,-118,-102,205,-250,DraftKings,DraftKings,DraftKings
2025-10-20 22:00:00-04:00,Houston Texans,Seattle Seahawks,3.0,100,-3.0,-120,41.5,-108,-112,142,-170,DraftKings,DraftKings,DraftKings
