kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-09-14 13:01:00-04:00,Los Angeles Rams,Tennessee Titans,33,19,-14,5.5,-5.5,-8.5,L,W,41.5,52,Over
2025-09-14 13:01:00-04:00,San Francisco 49ers,New Orleans Saints,26,21,-5,4.5,-4.5,-0.5,L,W,42.5,47,Over
2025-09-14 13:02:00-04:00,Seattle Seahawks,Pittsburgh Steelers,31,17,-14,-3.0,3.0,-17.0,L,W,40.5,48,Over
2025-09-14 13:02:20-04:00,Jacksonville Jaguars,Cincinnati Bengals,27,31,4,-3.5,3.5,0.5,W,L,49.5,58,Over
2025-09-14 13:02:35-04:00,New York Giants,Dallas Cowboys,37,40,3,-5.5,5.5,-2.5,L,W,44.5,77,Over
2025-09-14 13:02:40-04:00,Chicago Bears,Detroit Lions,21,52,31,-5.5,5.5,25.5,W,L,46.5,73,Over
2025-09-14 13:02:54-04:00,New England Patriots,Miami Dolphins,33,27,-6,-1.5,1.5,-7.5,L,W,43.5,60,Over
2025-09-14 13:03:00-04:00,Cleveland Browns,Baltimore Ravens,17,41,24,-11.5,11.5,12.5,W,L,45.5,58,Over
2025-09-14 13:04:00-04:00,Buffalo Bills,New York Jets,30,10,-20,7.0,-7.0,-13.0,L,W,46.5,40,Under
2025-09-14 16:04:31-04:00,Carolina Panthers,Arizona Cardinals,22,27,5,-6.5,6.5,-1.5,L,W,44.5,49,Over
2025-09-14 16:06:00-04:00,Denver Broncos,Indianapolis Colts,28,29,1,2.5,-2.5,3.5,W,L,42.5,57,Over
2025-09-14 16:25:47-04:00,Philadelphia Eagles,Kansas City Chiefs,20,17,-3,1.5,-1.5,-1.5,L,W,46.5,37,Under
2025-09-14 20:23:19-04:00,Atlanta Falcons,Minnesota Vikings,22,6,-16,-4.5,4.5,-20.5,L,W,44.5,28,Under
2025-09-15 19:06:00-04:00,Tampa Bay Buccaneers,Houston Texans,20,19,-1,-2.5,2.5,-3.5,L,W,42.5,39,Under
2025-09-15 22:05:19-04:00,Los Angeles Chargers,Las Vegas Raiders,20,9,-11,3.5,-3.5,-7.5,L,W,46.5,29,Under
