kickoff_et,away,home,away_score,home_score,spread_away,ats_winner
2025-12-25 13:00:00-05:00,Dallas Cowboys,Washington Commanders,30,23,-6.5,Dallas Cowboys
2025-12-25 16:30:00-05:00,Detroit Lions,Minnesota Vikings,10,23,-6.0,Minnesota Vikings
2025-12-25 20:15:00-05:00,Denver Broncos,Kansas City Chiefs,20,13,-12.5,Kansas City Chiefs
2025-12-27 16:30:00-05:00,Houston Texans,Los Angeles Chargers,20,16,2.5,Houston Texans
2025-12-27 20:00:00-05:00,Baltimore Ravens,Green Bay Packers,41,24,2.5,Baltimore Ravens
2025-12-28 13:00:00-05:00,Arizona Cardinals,Cincinnati Bengals,14,37,7.0,Cincinnati Bengals
2025-12-28 13:00:00-05:00,Seattle Seahawks,Carolina Panthers,27,10,-7.5,Seattle Seahawks
2025-12-28 13:00:00-05:00,Pittsburgh Steelers,Cleveland Browns,6,13,-3.5,Cleveland Browns
2025-12-28 13:00:00-05:00,Jacksonville Jaguars,Indianapolis Colts,23,17,-6.5,Indianapolis Colts
2025-12-28 13:00:00-05:00,Tampa Bay Buccaneers,Miami Dolphins,17,20,-5.5,Miami Dolphins
2025-12-28 13:00:00-05:00,New England Patriots,New York Jets,42,10,-13.5,New England Patriots
2025-12-28 13:00:00-05:00,New Orleans Saints,Tennessee Titans,34,26,-2.5,New Orleans Saints
2025-12-28 16:05:00-05:00,New York Giants,Las Vegas Raiders,34,10,1.5,New York Giants
2025-12-28 16:25:00-05:00,Philadelphia Eagles,Buffalo Bills,13,12,1.5,Philadelphia Eagles
2025-12-28 20:20:00-05:00,Chicago Bears,San Francisco 49ers,38,42,3.0,San Francisco 49ers
2025-12-29 20:15:00-05:00,Los Angeles Rams,Atlanta Falcons,24,27,-7.5,Atlanta Falcons
