team,stadium,city,state,weather_summary,forecast_time,game_time
Baltimore Ravens,M&T Bank Stadium,Baltimore,MD,"83°F (feels 90°F) | 50% chance rain (0.31"")",2026-09-13T17:08:36.567971,2026-09-13T13:00:00-04:00
Buffalo Bills,Highmark Stadium,Orchard Park,NY,78°F | Windy (14mph),2026-09-13T17:08:36.641249,2026-09-13T13:00:00-04:00
Carolina Panthers,Bank of America Stadium,Charlotte,NC,87°F (feels 93°F),2026-09-13T17:08:36.701762,2026-09-13T13:00:00-04:00
Chicago Bears,Soldier Field,Chicago,IL,71°F | Windy (11mph),2026-09-13T17:08:36.758051,2026-09-13T13:00:00-04:00
Cincinnati Bengals,Paycor Stadium,Cincinnati,OH,87°F (feels 94°F),2026-09-13T17:08:36.813417,2026-09-13T13:00:00-04:00
Cleveland Browns,Cleveland Browns Stadium,Cleveland,OH,81°F (feels 87°F),2026-09-13T17:08:36.864444,2026-09-13T13:00:00-04:00
Denver Broncos,Empower Field at Mile High,Denver,CO,84°F,2026-09-13T17:08:36.923462,2026-09-14T20:15:00-04:00
Green Bay Packers,Lambeau Field,Green Bay,WI,63°F | Windy (15mph),2026-09-13T17:08:37.001234,2026-09-13T16:25:00-04:00
Jacksonville Jaguars,TIAA Bank Field,Jacksonville,FL,91°F (feels 104°F),2026-09-13T17:08:37.061861,2026-09-13T13:00:00-04:00
Kansas City Chiefs,Arrowhead Stadium,Kansas City,MO,"75°F | Windy (13mph, gusts 30mph)",2026-09-13T17:08:37.134440,2026-09-14T20:15:00-04:00
Miami Dolphins,Hard Rock Stadium,Miami Gardens,FL,"87°F (feels 95°F) | 33% chance rain (0.25"") | Windy (11mph)",2026-09-13T17:08:37.203976,2026-09-13T16:25:00-04:00
New England Patriots,Gillette Stadium,Foxborough,MA,Forecast not yet available for game time,2026-09-13T17:08:37.269663,2026-09-09T20:20:00-04:00
New York Giants,MetLife Stadium,East Rutherford,NJ,"73°F | 37% chance rain (0.40"")",2026-09-13T17:08:37.328743,2026-09-13T20:20:00-04:00
New York Jets,MetLife Stadium,East Rutherford,NJ,"71°F | 100% chance rain (0.40"")",2026-09-13T17:08:37.380915,2026-09-13T13:00:00-04:00
Philadelphia Eagles,Lincoln Financial Field,Philadelphia,PA,"77°F | 75% chance rain (0.43"")",2026-09-13T17:08:37.440371,2026-09-13T16:25:00-04:00
Pittsburgh Steelers,Acrisure Stadium,Pittsburgh,PA,80°F,2026-09-13T17:08:37.501648,2026-09-13T13:00:00-04:00
San Francisco 49ers,Levi's Stadium,Santa Clara,CA,Forecast not yet available for game time,2026-09-13T17:08:37.569579,2026-09-10T20:37:25-04:00
Seattle Seahawks,Lumen Field,Seattle,WA,Forecast not yet available for game time,2026-09-13T17:08:37.651498,2026-09-09T20:20:00-04:00
Tampa Bay Buccaneers,Raymond James Stadium,Tampa,FL,"84°F (feels 92°F) | 100% chance rain (1.41"")",2026-09-13T17:08:37.705844,2026-09-13T13:00:00-04:00
Tennessee Titans,Nissan Stadium,Nashville,TN,92°F,2026-09-13T17:08:37.769597,2026-09-13T13:00:00-04:00
Washington Commanders,Northwest Stadium,Landover,MD,85°F,2026-09-13T17:08:37.835544,2026-09-13T16:25:00-04:00
