kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-09-11 20:16:00-04:00,Washington Commanders,Green Bay Packers,3.5,-115,-3.5,-105,48.5,-105,-115,150,-180,DraftKings,DraftKings,DraftKings
2025-09-14 13:00:00-04:00,Chicago Bears,Detroit Lions,5.5,-108,-5.5,-112,46.5,-118,-102,205,-250,DraftKings,DraftKings,DraftKings
2025-09-14 13:00:00-04:00,Jacksonville Jaguars,Cincinnati Bengals,3.5,-115,-3.5,-105,49.5,-108,-112,142,-170,DraftKings,DraftKings,DraftKings
2025-09-14 13:00:00-04:00,New York Giants,Dallas Cowboys,5.5,-110,-5.5,-110,44.5,-110,-110,205,-250,DraftKings,DraftKings,DraftKings
2025-09-14 13:00:00-04:00,New England Patriots,Miami Dolphins,1.5,-120,-1.5,100,43.5,-115,-105,-102,-118,DraftKings,DraftKings,DraftKings
2025-09-14 13:01:00-04:00,Cleveland Browns,Baltimore Ravens,11.5,-110,-11.5,-110,45.5,-108,-112,500,-700,DraftKings,DraftKings,DraftKings
2025-09-14 13:01:00-04:00,Buffalo Bills,New York Jets,-7.0,-105,7.0,-115,46.5,-110,-110,-310,250,DraftKings,DraftKings,DraftKings
2025-09-14 13:01:00-04:00,Los Angeles Rams,Tennessee Titans,-5.5,-112,5.5,-108,41.5,-112,-108,-230,190,DraftKings,DraftKings,DraftKings
2025-09-14 13:01:00-04:00,San Francisco 49ers,New Orleans Saints,-4.5,-110,4.5,-110,42.5,-108,-112,-218,180,DraftKings,DraftKings,DraftKings
2025-09-14 13:01:00-04:00,Seattle Seahawks,Pittsburgh Steelers,3.0,-115,-3.0,-105,40.5,-105,-115,130,-155,DraftKings,DraftKings,DraftKings
2025-09-14 16:05:00-04:00,Carolina Panthers,Arizona Cardinals,6.5,-108,-6.5,-112,44.5,-110,-110,230,-285,DraftKings,DraftKings,DraftKings
2025-09-14 16:06:00-04:00,Denver Broncos,Indianapolis Colts,-2.5,-110,2.5,-110,42.5,-108,-112,-135,114,DraftKings,DraftKings,DraftKings
2025-09-14 16:25:00-04:00,Philadelphia Eagles,Kansas City Chiefs,-1.5,-108,1.5,-112,46.5,-118,-102,-125,105,DraftKings,DraftKings,DraftKings
2025-09-14 20:20:00-04:00,Atlanta Falcons,Minnesota Vikings,4.5,-110,-4.5,-110,44.5,-110,-110,185,-225,DraftKings,DraftKings,DraftKings
2025-09-15 19:01:00-04:00,Tampa Bay Buccaneers,Houston Texans,2.5,-110,-2.5,-110,42.5,-110,-110,114,-135,DraftKings,DraftKings,DraftKings
2025-09-15 22:00:00-04:00,Los Angeles Chargers,Las Vegas Raiders,-3.5,-102,3.5,-118,46.5,-112,-108,-192,160,DraftKings,DraftKings,DraftKings
