kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-09-25 20:16:00-04:00,Seattle Seahawks,Arizona Cardinals,23,20,-3,-1.5,1.5,-4.5,L,W,43.5,43,Under
2025-09-28 09:31:00-04:00,Minnesota Vikings,Pittsburgh Steelers,21,24,3,2.5,-2.5,0.5,W,L,41.5,45,Over
2025-09-28 13:00:00-04:00,Cleveland Browns,Detroit Lions,10,34,24,-9.5,9.5,14.5,W,L,44.5,44,Under
2025-09-28 13:01:00-04:00,Washington Commanders,Atlanta Falcons,27,34,7,1.5,-1.5,5.5,W,L,44.5,61,Over
2025-09-28 13:01:00-04:00,New Orleans Saints,Buffalo Bills,19,31,12,-16.5,16.5,-4.5,L,W,48.5,50,Over
2025-09-28 13:01:00-04:00,Carolina Panthers,New England Patriots,13,42,29,-5.5,5.5,23.5,W,L,43.5,55,Over
2025-09-28 13:01:00-04:00,Tennessee Titans,Houston Texans,0,26,26,-7.0,7.0,19.0,W,L,38.5,26,Under
2025-09-28 13:01:00-04:00,Los Angeles Chargers,New York Giants,18,21,3,-6.0,6.0,-3.0,W,L,43.5,39,Under
2025-09-28 13:01:00-04:00,Philadelphia Eagles,Tampa Bay Buccaneers,31,25,-6,-3.5,3.5,-9.5,W,L,43.5,56,Over
2025-09-28 16:06:00-04:00,Indianapolis Colts,Los Angeles Rams,20,27,7,-3.5,3.5,3.5,W,L,49.5,47,Under
2025-09-28 16:06:00-04:00,Jacksonville Jaguars,San Francisco 49ers,26,21,-5,3.0,-3.0,-8.0,L,W,47.5,47,Under
2025-09-28 16:25:00-04:00,Baltimore Ravens,Kansas City Chiefs,20,37,17,2.5,-2.5,14.5,W,L,48.5,57,Over
2025-09-28 16:26:00-04:00,Chicago Bears,Las Vegas Raiders,25,24,-1,-1.5,1.5,-2.5,L,W,47.5,49,Over
2025-09-28 20:21:00-04:00,Green Bay Packers,Dallas Cowboys,40,40,0,7.0,-7.0,-7.0,L,W,47.5,80,Over
2025-09-29 19:15:00-04:00,New York Jets,Miami Dolphins,21,27,6,-3.0,3.0,3.0,W,L,44.5,48,Over
2025-09-29 20:15:00-04:00,Cincinnati Bengals,Denver Broncos,3,28,25,-7.5,7.5,17.5,W,L,44.5,31,Under
