kickoff_et,away,home,away_score,home_score,spread_away,spread_home,away_covered,home_covered
2025-10-02 20:16:00-04:00,San Francisco 49ers,Los Angeles Rams,26,23,8.5,-8.5,TRUE,FALSE
2025-10-05 09:31:00-04:00,Minnesota Vikings,Cleveland Browns,21,17,-4.5,4.5,FALSE,TRUE
2025-10-05 13:01:00-04:00,Houston Texans,Baltimore Ravens,44,10,-1.5,1.5,TRUE,FALSE
2025-10-05 13:01:00-04:00,Miami Dolphins,Carolina Panthers,24,27,-1.5,1.5,FALSE,TRUE
2025-10-05 13:01:00-04:00,Dallas Cowboys,New York Jets,37,22,-2.5,2.5,TRUE,FALSE
2025-10-05 13:01:00-04:00,Denver Broncos,Philadelphia Eagles,21,17,3.5,-3.5,TRUE,FALSE
2025-10-05 13:01:00-04:00,Las Vegas Raiders,Indianapolis Colts,6,40,6.5,-6.5,FALSE,TRUE
2025-10-05 13:01:00-04:00,New York Giants,New Orleans Saints,14,26,1.5,-1.5,FALSE,TRUE
2025-10-05 16:06:00-04:00,Tennessee Titans,Arizona Cardinals,22,21,7.5,-7.5,TRUE,FALSE
2025-10-05 16:06:00-04:00,Tampa Bay Buccaneers,Seattle Seahawks,38,35,3.5,-3.5,TRUE,FALSE
2025-10-05 16:26:00-04:00,Detroit Lions,Cincinnati Bengals,37,24,-10.5,10.5,TRUE,FALSE
2025-10-05 16:26:00-04:00,Washington Commanders,Los Angeles Chargers,27,10,2.5,-2.5,TRUE,FALSE
2025-10-05 20:21:00-04:00,New England Patriots,Buffalo Bills,23,20,8.5,-8.5,TRUE,FALSE
2025-10-06 20:16:00-04:00,Kansas City Chiefs,Jacksonville Jaguars,28,31,-3.5,3.5,FALSE,TRUE
