user,team,opponent,result,game_date
jacob,Jacksonville Jaguars,Carolina Panthers,W,2025-09-07
jacob,Las Vegas Raiders,New England Patriots,W,2025-09-07
jacob,Chicago Bears,Minnesota Vikings,L,2025-09-08
shane,Carolina Panthers,Jacksonville Jaguars,L,2025-09-07
shane,Seattle Seahawks,San Francisco 49ers,L,2025-09-07
shane,Atlanta Falcons,Tampa Bay Buccaneers,L,2025-09-07
nathan,Miami Dolphins,Indianapolis Colts,L,2025-09-07
nathan,Detroit Lions,Green Bay Packers,L,2025-09-07
cam,Tampa Bay Buccaneers,Atlanta Falcons,W,2025-09-07
cam,Washington Commanders,New York Giants,W,2025-09-07
cam,Minnesota Vikings,Chicago Bears,W,2025-09-08
max,Cincinnati Bengals,Cleveland Browns,L,2025-09-07
max,Pittsburgh Steelers,New York Jets,L,2025-09-07
max,Detroit Lions,Green Bay Packers,L,2025-09-07
john,New England Patriots,Las Vegas Raiders,L,2025-09-07
john,Denver Broncos,Tennessee Titans,L,2025-09-07
john,Cincinnati Bengals,Cleveland Browns,L,2025-09-07
connor,Tampa Bay Buccaneers,Atlanta Falcons,W,2025-09-07
connor,Minnesota Vikings,Chicago Bears,W,2025-09-08
connor,Buffalo Bills,Baltimore Ravens,W,2025-09-07
