kickoff_et,away,home,away_score,home_score,spread_away,spread_home,away_covered,home_covered
2025-12-11 20:15:00-05:00,Atlanta Falcons,Tampa Bay Buccaneers,29,28,4.5,-4.5,TRUE,FALSE
2025-12-14 13:00:00-05:00,Arizona Cardinals,Houston Texans,20,40,9.5,-9.5,FALSE,TRUE
2025-12-14 13:00:00-05:00,Baltimore Ravens,Cincinnati Bengals,24,0,-2.5,2.5,TRUE,FALSE
2025-12-14 13:00:00-05:00,Buffalo Bills,New England Patriots,35,31,-1.5,1.5,TRUE,FALSE
2025-12-14 13:00:00-05:00,Cleveland Browns,Chicago Bears,3,31,7.5,-7.5,FALSE,TRUE
2025-12-14 13:00:00-05:00,New York Jets,Jacksonville Jaguars,20,48,13.5,-13.5,FALSE,TRUE
2025-12-14 13:00:00-05:00,Los Angeles Chargers,Kansas City Chiefs,16,13,5.5,-5.5,TRUE,FALSE
2025-12-14 13:00:00-05:00,Las Vegas Raiders,Philadelphia Eagles,0,31,11.5,-11.5,FALSE,TRUE
2025-12-14 13:00:00-05:00,Washington Commanders,New York Giants,29,21,2.5,-2.5,TRUE,FALSE
2025-12-14 16:25:00-05:00,Carolina Panthers,New Orleans Saints,17,20,-2.5,2.5,FALSE,TRUE
2025-12-14 16:25:00-05:00,Green Bay Packers,Denver Broncos,26,34,-2.5,2.5,FALSE,TRUE
2025-12-14 16:25:00-05:00,Detroit Lions,Los Angeles Rams,34,41,5.5,-5.5,FALSE,TRUE
2025-12-14 16:25:00-05:00,Indianapolis Colts,Seattle Seahawks,16,18,13.5,-13.5,TRUE,FALSE
2025-12-14 16:25:00-05:00,Tennessee Titans,San Francisco 49ers,24,37,12.5,-12.5,FALSE,TRUE
2025-12-14 20:20:00-05:00,Minnesota Vikings,Dallas Cowboys,34,26,5.5,-5.5,TRUE,FALSE
2025-12-15 20:15:00-05:00,Miami Dolphins,Pittsburgh Steelers,15,28,3.0,-3.0,FALSE,TRUE
