kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-09-18 20:15:00-04:00,Miami Dolphins,Buffalo Bills,21,31,10,-12.5,12.5,-2.5,L,W,49.5,52,Over
2025-09-21 13:02:00-04:00,Los Angeles Rams,Philadelphia Eagles,26,33,7,-3.5,3.5,3.5,W,L,44.5,59,Over
2025-09-21 13:02:24-04:00,Houston Texans,Jacksonville Jaguars,10,17,7,-1.5,1.5,5.5,W,L,44.5,27,Under
2025-09-21 13:02:29-04:00,Pittsburgh Steelers,New England Patriots,21,14,-7,1.5,-1.5,-5.5,L,W,44.5,35,Under
2025-09-21 13:02:30-04:00,Green Bay Packers,Cleveland Browns,10,13,3,8.5,-8.5,11.5,W,L,41.5,23,Under
2025-09-21 13:02:33-04:00,New York Jets,Tampa Bay Buccaneers,27,29,2,-7.0,7.0,-5.0,L,W,44.5,56,Over
2025-09-21 13:02:46-04:00,Las Vegas Raiders,Washington Commanders,24,41,17,-3.5,3.5,13.5,W,L,44.5,65,Over
2025-09-21 13:03:31-04:00,Atlanta Falcons,Carolina Panthers,0,30,30,5.5,-5.5,35.5,W,L,43.5,30,Under
2025-09-21 13:03:32-04:00,Cincinnati Bengals,Minnesota Vikings,10,48,38,-3.0,3.0,35.0,W,L,42.5,58,Over
2025-09-21 13:04:00-04:00,Indianapolis Colts,Tennessee Titans,41,20,-21,3.5,-3.5,-17.5,L,W,43.5,61,Over
2025-09-21 16:05:22-04:00,Denver Broncos,Los Angeles Chargers,20,23,3,-2.5,2.5,0.5,W,L,45.5,43,Under
2025-09-21 16:05:29-04:00,New Orleans Saints,Seattle Seahawks,13,44,31,-7.5,7.5,23.5,W,L,41.5,57,Over
2025-09-21 16:25:57-04:00,Dallas Cowboys,Chicago Bears,14,31,17,-1.5,1.5,15.5,W,L,49.5,45,Under
2025-09-21 16:28:00-04:00,Arizona Cardinals,San Francisco 49ers,15,16,1,-1.5,1.5,-0.5,L,W,44.5,31,Under
2025-09-21 20:23:00-04:00,Kansas City Chiefs,New York Giants,22,9,-13,5.5,-5.5,-7.5,L,W,45.5,31,Under
2025-09-22 20:16:07-04:00,Detroit Lions,Baltimore Ravens,38,30,-8,-4.5,4.5,-12.5,L,W,51.5,68,Over
